[2026-08-09 14:37:54] === Monitor started (interval=3s) ===
[2026-08-09 14:37:55] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:37:58] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:01] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:04] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:07] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:10] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:13] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:16] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:19] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:22] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:25] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4056KB
[2026-08-09 14:38:28] PROCESS:agent-leak-app PID:1746 CPU:0.0% MEM:0.1% RSS:3180KB VSZ:4188KB
[2026-08-09 14:38:48] === Monitor started (interval=2s) ===
[2026-08-09 14:38:48] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:48] PROCESS:agent-leak-app PID:2020 CPU:66.6% MEM:0.0% RSS:1200KB VSZ:2788KB
[2026-08-09 14:38:50] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:50] PROCESS:agent-leak-app PID:2020 CPU:2.9% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:38:50] PROCESS:agent-leak-app PID:2062 CPU:2.0% MEM:0.8% RSS:17504KB VSZ:22584KB
[2026-08-09 14:38:52] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:52] PROCESS:agent-leak-app PID:2020 CPU:1.4% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:38:52] PROCESS:agent-leak-app PID:2062 CPU:1.2% MEM:2.1% RSS:43288KB VSZ:48188KB
[2026-08-09 14:38:54] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:54] PROCESS:agent-leak-app PID:2020 CPU:0.9% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:38:54] PROCESS:agent-leak-app PID:2062 CPU:1.1% MEM:3.3% RSS:68896KB VSZ:73792KB
[2026-08-09 14:38:56] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:56] PROCESS:agent-leak-app PID:2020 CPU:0.7% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:38:56] PROCESS:agent-leak-app PID:2062 CPU:0.9% MEM:4.6% RSS:94504KB VSZ:99396KB
[2026-08-09 14:38:58] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:38:58] PROCESS:agent-leak-app PID:2020 CPU:0.5% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:38:58] PROCESS:agent-leak-app PID:2062 CPU:0.7% MEM:4.6% RSS:94504KB VSZ:99396KB
[2026-08-09 14:39:00] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:00] PROCESS:agent-leak-app PID:2020 CPU:0.4% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:00] PROCESS:agent-leak-app PID:2062 CPU:0.8% MEM:5.9% RSS:120112KB VSZ:125000KB
[2026-08-09 14:39:02] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:02] PROCESS:agent-leak-app PID:2020 CPU:0.4% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:02] PROCESS:agent-leak-app PID:2062 CPU:0.8% MEM:7.1% RSS:145720KB VSZ:150604KB
[2026-08-09 14:39:04] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:04] PROCESS:agent-leak-app PID:2020 CPU:0.3% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:04] PROCESS:agent-leak-app PID:2062 CPU:0.7% MEM:7.1% RSS:145720KB VSZ:150604KB
[2026-08-09 14:39:06] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:06] PROCESS:agent-leak-app PID:2020 CPU:0.3% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:06] PROCESS:agent-leak-app PID:2062 CPU:0.7% MEM:8.4% RSS:171328KB VSZ:176208KB
[2026-08-09 14:39:08] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:08] PROCESS:agent-leak-app PID:2020 CPU:0.2% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:08] PROCESS:agent-leak-app PID:2062 CPU:0.7% MEM:9.6% RSS:196936KB VSZ:201812KB
[2026-08-09 14:39:10] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:10] PROCESS:agent-leak-app PID:2020 CPU:0.2% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:10] PROCESS:agent-leak-app PID:2062 CPU:0.7% MEM:9.6% RSS:196936KB VSZ:201812KB
[2026-08-09 14:39:12] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:12] PROCESS:agent-leak-app PID:2020 CPU:0.2% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:12] PROCESS:agent-leak-app PID:2062 CPU:0.6% MEM:10.9% RSS:222544KB VSZ:227416KB
[2026-08-09 14:39:14] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
[2026-08-09 14:39:14] PROCESS:agent-leak-app PID:2020 CPU:0.2% MEM:0.0% RSS:1200KB VSZ:2792KB
[2026-08-09 14:39:14] PROCESS:agent-leak-app PID:2062 CPU:0.6% MEM:12.2% RSS:248152KB VSZ:253020KB
[2026-08-09 14:39:16] PROCESS:agent-leak-app PID:2013 CPU:0.0% MEM:0.1% RSS:3304KB VSZ:4056KB
